date,cryptocurrency,isPartial
2019-12-29,27,False
2020-01-05,29,False
2020-01-12,34,False
2020-01-19,29,False
2020-01-26,31,False
2020-02-02,33,False
2020-02-09,41,False
2020-02-16,40,False
2020-02-23,34,False
2020-03-01,50,False
2020-03-08,47,False
2020-03-15,39,False
2020-03-22,36,False
2020-03-29,35,False
2020-04-05,39,False
2020-04-12,37,False
2020-04-19,41,False
2020-04-26,45,False
2020-05-03,50,False
2020-05-10,47,False
2020-05-17,42,False
2020-05-24,41,False
2020-05-31,39,False
2020-06-07,38,False
2020-06-14,35,False
2020-06-21,36,False
2020-06-28,36,False
2020-07-05,43,False
2020-07-12,45,False
2020-07-19,44,False
2020-07-26,52,False
2020-08-02,55,False
2020-08-09,54,False
2020-08-16,57,False
2020-08-23,45,False
2020-08-30,54,False
2020-09-06,44,False
2020-09-13,45,False
2020-09-20,39,False
2020-09-27,36,False
2020-10-04,35,False
2020-10-11,34,False
2020-10-18,38,False
2020-10-25,39,False
2020-11-01,43,False
2020-11-08,43,False
2020-11-15,57,False
2020-11-22,77,False
2020-11-29,63,False
2020-12-06,59,False
2020-12-13,69,False
2020-12-20,71,False
2020-12-27,100,False
2020-12-27,21,False
2021-01-03,35,False
2021-01-10,32,False
2021-01-17,24,False
2021-01-24,36,False
2021-01-31,43,False
2021-02-07,56,False
2021-02-14,46,False
2021-02-21,41,False
2021-02-28,28,False
2021-03-07,29,False
2021-03-14,33,False
2021-03-21,29,False
2021-03-28,31,False
2021-04-04,38,False
2021-04-11,62,False
2021-04-18,68,False
2021-04-25,48,False
2021-05-02,84,False
2021-05-09,100,False
2021-05-16,97,False
2021-05-23,65,False
2021-05-30,46,False
2021-06-06,41,False
2021-06-13,32,False
2021-06-20,38,False
2021-06-27,27,False
2021-07-04,25,False
2021-07-11,23,False
2021-07-18,23,False
2021-07-25,25,False
2021-08-01,25,False
2021-08-08,30,False
2021-08-15,30,False
2021-08-22,29,False
2021-08-29,27,False
2021-09-05,31,False
2021-09-12,26,False
2021-09-19,29,False
2021-09-26,25,False
2021-10-03,34,False
2021-10-10,33,False
2021-10-17,34,False
2021-10-24,64,False
2021-10-31,78,False
2021-11-07,47,False
2021-11-14,49,False
2021-11-21,58,False
2021-11-28,47,False
2021-12-05,37,False
2021-12-12,32,False
2021-12-19,29,False
2021-12-26,30,False
2021-12-26,73,False
2022-01-02,93,False
2022-01-09,83,False
2022-01-16,100,False
2022-01-23,91,False
2022-01-30,97,False
2022-02-06,82,False
2022-02-13,70,False
2022-02-20,69,False
2022-02-27,62,False
2022-03-06,60,False
2022-03-13,55,False
2022-03-20,54,False
2022-03-27,59,False
2022-04-03,55,False
2022-04-10,57,False
2022-04-17,53,False
2022-04-24,48,False
2022-05-01,47,False
2022-05-08,89,False
2022-05-15,58,False
2022-05-22,52,False
2022-05-29,41,False
2022-06-05,39,False
2022-06-12,63,False
2022-06-19,44,False
2022-06-26,37,False
2022-07-03,33,False
2022-07-10,32,False
2022-07-17,35,False
2022-07-24,33,False
2022-07-31,32,False
2022-08-07,31,False
2022-08-14,33,False
2022-08-21,31,False
2022-08-28,28,False
2022-09-04,29,False
2022-09-11,32,False
2022-09-18,32,False
2022-09-25,28,False
2022-10-02,26,False
2022-10-09,26,False
2022-10-16,26,False
2022-10-23,26,False
2022-10-30,27,False
2022-11-06,39,False
2022-11-13,44,False
2022-11-20,30,False
2022-11-27,30,False
2022-12-04,27,False
2022-12-11,31,False
2022-12-18,26,False
2022-12-25,24,False
