Categoria: Finances

Setmana,Apple store: (Arreu del món),Apple Watch: (Arreu del món),Apple accessories: (Arreu del món),Tim Cook: (Arreu del món),iPad: (Arreu del món)
2023-07-09,21,46,0,0,81
2023-07-16,20,39,0,0,73
2023-07-23,18,38,0,0,75
2023-07-30,18,38,0,0,78
2023-08-06,18,39,0,0,76
2023-08-13,18,39,0,0,73
2023-08-20,18,35,0,0,74
2023-08-27,18,36,0,0,75
2023-09-03,17,35,0,0,73
2023-09-10,43,62,0,1,77
2023-09-17,36,53,0,0,75
2023-09-24,34,52,0,1,76
2023-10-01,31,47,0,1,74
2023-10-08,25,44,0,0,72
2023-10-15,24,42,0,0,71
2023-10-22,23,37,0,1,69
2023-10-29,23,39,0,0,68
2023-11-05,22,43,0,0,69
2023-11-12,21,45,0,0,73
2023-11-19,24,51,0,0,84
2023-11-26,22,47,0,0,77
2023-12-03,21,43,0,0,69
2023-12-10,23,44,0,0,71
2023-12-17,21,50,0,0,68
2023-12-24,22,54,0,0,80
2023-12-31,24,45,0,0,76
2024-01-07,19,39,0,0,72
2024-01-14,19,37,0,0,67
2024-01-21,19,38,0,0,68
2024-01-28,19,42,0,0,72
2024-02-04,18,41,0,0,70
2024-02-11,19,38,0,0,66
2024-02-18,20,40,0,1,69
2024-02-25,20,38,0,0,69
2024-03-03,20,38,0,0,73
2024-03-10,18,32,0,0,68
2024-03-17,17,36,0,0,71
2024-03-24,19,37,0,1,70
2024-03-31,17,37,0,0,66
2024-04-07,19,38,0,0,69
2024-04-14,18,33,0,2,66
2024-04-21,17,36,0,0,66
2024-04-28,17,37,0,1,62
2024-05-05,17,35,0,0,100
2024-05-12,17,37,0,0,84
2024-05-19,17,35,0,0,77
2024-05-26,17,34,0,1,75
2024-06-02,17,36,0,0,73
2024-06-09,18,34,0,0,83
2024-06-16,15,37,0,0,78
2024-06-23,17,36,< 1,1,72
2024-06-30,18,35,< 1,< 1,75
2024-07-07,17,37,< 1,< 1,74
