Categoria: Finances

Setmana,Apple: (Arreu del món),iPhone: (Arreu del món),MacBook: (Arreu del món),AAPL: (Arreu del món),Samsung: (Arreu del món)
2023-07-09,49,53,3,4,33
2023-07-16,46,48,3,4,29
2023-07-23,48,48,3,4,33
2023-07-30,54,48,3,6,31
2023-08-06,50,47,3,5,31
2023-08-13,43,47,3,3,30
2023-08-20,44,44,3,3,30
2023-08-27,47,47,3,4,29
2023-09-03,47,47,3,5,30
2023-09-10,75,100,3,5,29
2023-09-17,64,72,3,4,30
2023-09-24,58,75,3,3,30
2023-10-01,51,63,3,3,31
2023-10-08,46,56,3,3,29
2023-10-15,45,53,3,3,27
2023-10-22,44,48,2,3,28
2023-10-29,48,49,3,6,28
2023-11-05,47,50,3,3,30
2023-11-12,47,50,3,3,31
2023-11-19,47,52,3,2,31
2023-11-26,50,52,3,3,30
2023-12-03,45,48,3,3,28
2023-12-10,44,49,3,4,28
2023-12-17,47,47,2,3,29
2023-12-24,48,52,3,2,30
2023-12-31,50,52,3,4,29
2024-01-07,45,45,3,4,28
2024-01-14,45,46,3,3,36
2024-01-21,46,48,3,3,31
2024-01-28,52,46,3,5,29
2024-02-04,53,45,3,4,27
2024-02-11,49,42,3,3,26
2024-02-18,47,43,3,3,25
2024-02-25,47,43,3,4,24
2024-03-03,53,43,3,6,24
2024-03-10,45,39,3,4,23
2024-03-17,48,40,3,6,24
2024-03-24,46,41,3,4,24
2024-03-31,49,42,3,3,24
2024-04-07,46,40,3,4,23
2024-04-14,45,40,3,3,22
2024-04-21,43,40,3,3,22
2024-04-28,50,40,3,8,24
2024-05-05,47,38,3,4,24
2024-05-12,44,38,3,4,22
2024-05-19,41,37,3,3,22
2024-05-26,42,38,3,3,23
2024-06-02,44,39,3,3,22
2024-06-09,56,38,3,10,24
2024-06-16,47,38,3,4,22
2024-06-23,46,39,3,4,23
2024-06-30,45,38,3,3,24
2024-07-07,47,41,3,4,24
