Title,Sentiment Score
"Cosmos (ATOM) Set For 50% Rally After Recent Plunge, Analyst Eyes $12 Target",1.0
Asian Stocks Pressured After Big Tech Disappoints: Markets Wrap,1.0
Ether ETF Volumes Top $1B on Day One - CoinDesk,1.0
Bitcoin mining stocks add billions to their market caps over the past two weeks,0.0
South Korea FSC chairman: ‘Difficult for crypto to replace legal tender’,1.0
Winklevoss skeptical of Kamala Harris’ potential pivot on Bitcoin amid rumors,1.0
Kamala Harris campaign in talks to speak at Bitcoin Conference,1.0
"Bitcoin, Gold, and Silver Prices Set to Skyrocket with Trump’s Return: Bestselling Author",1.0
Bitcoin Enters Final Wave 5 As World Events Signal Massive Surge,1.0
Bitcoin Took Over the Las Vegas Sphere—Where’s Dogwifhat?,1.0
"The Daily: Spot Ethereum ETFs go live, BlackRock’s Bitcoin ETF huge daily inflow, and Pudgy Penguins",1.0
"Live: ASX set to open flat, Wall Street slips as Tesla and Alphabet report earnings",1.0
US spot ether ETFs make market debut in another win for crypto industry,1.0
"Bitcoin: Despite THIS decline, BTC investors still hold steady!",0.0
Spot Ethereum ETF debut sees over $1 billion in trading volume,1.0
Which ether ETF is the best to invest in? Here’s what spot bitcoin ETFs taught us,1.0
Scorum Powers Aviatrix’s Exclusive Web3 Debut on Cosmos,1.0
FrostyGoop ICS malware targets Ukraine,0.0
Ethereum ETFs Hit $1 Billion in Day One Trading Volume as ETH Price Sits Still,1.0
$ETH: 21Shares CEO Explains Why Ether Price Did Not Surge on Launch of 9 US-Listed Spot ETFs,0.0
Mt. Gox Creditors Begin Withdrawing Owed Bitcoin And BCH Funds Via Kraken,1.0
JUST IN: Candace Owens Dropped From Trump Jr. Event Promoted with Dad’s 2024 Campaign Logo,1.0
Cryptocurrencies fall on day 1 of ether ETFs as Mt. Gox moves more bitcoin to creditors,0.0
BlackRock continues to eat spot Bitcoin ETF volume share,1.0
New Spot Ether ETFs See $1 Billion of Trading Volume on First Day,1.0
The Dollar is Dying (corrected version) – Epi-3528,1.0
"Algotech (ALGT) Platform Crosses $9.5 Million in Final Week, Draws Comparison to Avalanche",1.0
Lightning Labs eyes improving stablecoin settlement with launch of updated Taproot Assets,1.0
What Is J.D. Vance's Net Worth?,1.0
"Bitcoin slumps, ether flat as market digests ETH ETF launch",0.0
Bitcoin’s bull run to $68K: A trap for $30M in liquidation?,0.0
Chainlink (LINK) Forms Signal That Last Led To 123% Rally,1.0
Bitcoin Miner Capitulation Almost Over: What It Means For Price,1.0
Shark Tank’s “Mr. Wonderful” Explains the Rationale for His Crypto Investments,1.0
Riot Platforms expands with Kentucky Bitcoin mining acquisition,1.0
Bitcoin gains $1.2K in 1 hour as BTC price rebounds on Ether ETF launch,0.0
Bitcoin Slips to Near $65K as Mt. Gox Creditors Receive Assets on Kraken,1.0
Kamala Harris is catching up on crypto as she runs against Donald Trump,1.0
Bitcoin Slips to Near $65K as Mt. Gox Creditors Receive Assets on Kraken,1.0
NewGenIvf Provides Update on Potential Reverse Merger with COVIRIX,1.0
