Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2558906303.88098,3103184101.51354,3544707788.05664,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,928880235176.594,1086530704900.5,1185137703650.99,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19955929060.841,14266499429.8746,3478231165177.1567,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,786962436538.391,844927536437.833,875393693658.084,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,48501561230.001,66505129989.243,106782770714.619,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15162734205.2462,17930565118.8176,18916378860.5488,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891002460.29153,3325143693.28714,3352031094.22914,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2535508549316.27,2930480380710.72,3543339785308.86,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,349473015336.939,415178792769.884,507063968273.313,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965,487902572164.348,631133384439.944,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641698583.2152,13878908628.9378,19513474648.2429,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,721000000.0,750000000.0,871000000.0,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1410796296.2963,1601366666.66667,1867733333.33333,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1330381544909.3,1559033756285.13,1692956646855.7,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,435049316955.737,479295362747.047,470941926750.741,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000.0,54825411764.7059,78721058823.5294,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2649680261.43998,2775798697.47186,3338722827.66241,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,526264230147.394,600748812601.541,583435595579.963,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,15686741893.5187,17687623534.6665,17396792699.5489,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,17725010530.7894,19642668879.7694,18820064797.8379,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373902197869.16,416264800549.026,460201265527.977,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,70368758395.141,84041493015.6618,90346169914.9349,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,34621807712.766,39288670212.766,44383297872.3404,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,9754600000.0,11527600000.0,12897400000.0,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20226036564.4129,23649568276.8447,24473906673.7086,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61371755326.2351,69673747131.87,72793457588.4367,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2047727810.06777,2424575179.3783,2830507575.6841,
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6887147000.0,7127200000.0,7546000000.0,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,36629843806.0781,40406111695.179,44008282877.9606,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1476107231194.11,1649622821885.14,1920095779022.73,
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4738800000.0,4923100000.0,5699950000.0,
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,12005799653.9835,14006496617.4458,16681536466.7183,
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2457604042.76364,2768003872.54065,3478231165177.1567,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,14960291541.176,18737066311.1597,20355541962.8512,
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2326720900.38047,2516498412.46384,2382618615.01694,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1655684730000.19,2007472181464.15,2161483369422.01,
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1665327992740.77,1908002281033.51,1944198197077.57,
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,741999406005.627,813408787222.499,818426550206.45,
