"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.07.2024","77,23","77,36","77,45","77,08","","0,35%"
"23.07.2024","76,96","78,27","78,73","76,40","417,94K","-3,53%"
"22.07.2024","79,78","80,39","80,69","79,17","27,34K","-0,44%"
"19.07.2024","80,13","82,47","82,88","80,07","83,80K","-3,25%"
"18.07.2024","82,82","83,11","83,82","82,04","95,70K","-0,04%"
"17.07.2024","82,85","80,85","83,10","80,45","257,44K","2,59%"
"16.07.2024","80,76","81,92","81,93","80,22","308,19K","-0,10%"
"15.07.2024","80,84","80,96","81,35","80,36","216,42K","-0,22%"
"12.07.2024","81,02","81,55","82,29","80,91","276,67K","-0,44%"
"11.07.2024","81,38","81,35","81,83","80,60","205,10K","0,38%"
"10.07.2024","81,07","80,92","81,60","79,95","193,21K","0,63%"
"09.07.2024","80,56","81,45","81,65","80,42","166,79K","-1,18%"
"08.07.2024","81,52","82,36","82,50","81,29","143,02K","-1,97%"
"05.07.2024","83,16","83,60","84,52","83,02","361,36K","-0,93%"
"04.07.2024","83,94","83,61","84,20","83,03","","0,07%"
"03.07.2024","83,88","83,20","83,93","82,46","289,69K","1,29%"
"02.07.2024","82,81","83,43","84,38","82,72","367,79K","-0,68%"
"01.07.2024","83,38","81,45","83,64","81,38","345,78K","2,26%"
"28.06.2024","81,54","81,86","82,72","80,97","260,25K","-0,24%"
"27.06.2024","81,74","80,86","82,04","80,51","306,34K","1,04%"
"26.06.2024","80,90","80,72","81,63","80,18","308,41K","0,09%"
"25.06.2024","80,83","81,70","81,90","80,55","286,04K","-0,98%"
"24.06.2024","81,63","80,45","81,78","80,23","271,75K","1,11%"
"21.06.2024","80,73","81,27","81,79","80,35","290,50K","-1,75%"
"20.06.2024","82,17","81,52","82,41","81,13","23,27K","1,96%"
"19.06.2024","80,59","80,78","81,16","80,31","","-1,20%"
"18.06.2024","81,57","80,43","81,67","79,77","140,71K","1,54%"
"17.06.2024","80,33","78,48","80,66","77,98","126,73K","2,40%"
"14.06.2024","78,45","77,96","79,15","77,73","245,83K","-0,22%"
"13.06.2024","78,62","78,37","78,89","77,67","307,64K","0,15%"
"12.06.2024","78,50","78,22","79,32","77,88","322,29K","0,77%"
"11.06.2024","77,90","78,12","78,36","77,22","314,87K","0,21%"
"10.06.2024","77,74","75,35","78,29","75,23","317,03K","2,93%"
"07.06.2024","75,53","75,67","76,25","75,21","280,25K","-0,03%"
"06.06.2024","75,55","74,30","75,79","74,06","291,08K","2,00%"
"05.06.2024","74,07","72,90","74,33","72,82","307,70K","1,12%"
"04.06.2024","73,25","74,02","74,13","72,48","408,72K","-1,31%"
"03.06.2024","74,22","76,97","77,52","73,98","443,27K","-3,60%"
"31.05.2024","76,99","77,91","78,62","76,67","345,12K","-1,18%"
"30.05.2024","77,91","79,28","79,42","77,63","373,78K","-1,67%"
"29.05.2024","79,23","80,26","80,62","78,99","259,59K","-0,75%"
"28.05.2024","79,83","77,81","80,29","77,69","334,07K","1,50%"
"27.05.2024","78,65","77,84","78,80","77,75","","1,20%"
"24.05.2024","77,72","77,04","78,05","76,15","299,08K","1,11%"
"23.05.2024","76,87","77,29","78,66","76,43","330,27K","-0,90%"
"22.05.2024","77,57","78,21","78,41","77,25","314,15K","-2,13%"
"21.05.2024","79,26","79,70","79,72","78,08","34,18K","-0,68%"
"20.05.2024","79,80","80,01","80,60","79,17","85,07K","-0,32%"
"17.05.2024","80,06","79,38","80,14","79,00","94,15K","1,05%"
"16.05.2024","79,23","78,84","79,85","78,20","230,28K","0,76%"
"15.05.2024","78,63","78,44","78,92","76,70","321,27K","0,78%"
"14.05.2024","78,02","79,23","79,38","77,68","307,41K","-1,39%"
"13.05.2024","79,12","78,18","79,49","77,78","287,70K","1,10%"
"10.05.2024","78,26","79,59","79,96","78,14","281,17K","-1,26%"
"09.05.2024","79,26","79,23","79,80","78,91","272,71K","0,34%"
"08.05.2024","78,99","78,34","79,27","76,89","355,45K","0,78%"
"07.05.2024","78,38","78,72","79,17","77,55","327,59K","-0,13%"
"06.05.2024","78,48","78,16","79,09","77,91","297,37K","0,47%"
"03.05.2024","78,11","79,07","79,63","77,96","324,44K","-1,06%"
"02.05.2024","78,95","79,15","79,90","78,41","359,65K","-0,06%"
"01.05.2024","79,00","81,48","81,57","78,83","441,98K","-3,58%"
"30.04.2024","81,93","82,76","83,30","80,95","400,68K","-0,85%"
"29.04.2024","82,63","83,69","83,91","82,40","336,98K","-1,45%"
"26.04.2024","83,85","83,81","84,46","83,35","244,09K","0,34%"
"25.04.2024","83,57","82,83","83,83","81,99","314,12K","0,92%"
"24.04.2024","82,81","83,40","83,71","82,44","329,08K","-0,66%"
