"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.07.2024","31,218","31,085","31,240","30,945","","0,52%"
"09.07.2024","31,056","31,020","31,435","30,785","54,92K","0,46%"
"08.07.2024","30,913","31,475","31,670","30,710","67,27K","-2,45%"
"05.07.2024","31,689","30,820","31,790","30,450","100,15K","3,39%"
"04.07.2024","30,650","30,815","30,875","30,495","","-0,62%"
"03.07.2024","30,842","29,815","30,975","29,770","75,32K","3,99%"
"02.07.2024","29,658","29,765","30,125","29,490","52,27K","0,15%"
"01.07.2024","29,613","29,445","29,790","29,250","45,99K","0,18%"
"28.06.2024","29,560","29,285","29,955","29,070","51,91K","1,04%"
"27.06.2024","29,256","29,080","29,575","28,990","63,25K","0,57%"
"26.06.2024","29,091","29,145","29,230","28,755","1,29K","0,22%"
"25.06.2024","29,028","29,735","29,835","29,025","0,77K","-2,21%"
"24.06.2024","29,685","29,750","29,910","29,570","0,44K","-0,31%"
"21.06.2024","29,776","31,000","31,025","29,660","0,87K","-4,40%"
"20.06.2024","31,148","29,925","31,170","29,730","39,15K","4,45%"
"19.06.2024","29,820","29,602","29,860","29,410","","-0,21%"
"18.06.2024","29,883","29,870","30,065","29,305","20,94K","0,59%"
"17.06.2024","29,709","29,955","29,960","29,410","9,51K","-0,27%"
"14.06.2024","29,790","29,310","29,965","29,230","16,20K","1,39%"
"13.06.2024","29,381","30,135","30,135","29,045","28,22K","-3,96%"
"12.06.2024","30,591","29,690","30,675","29,600","25,79K","3,53%"
"11.06.2024","29,548","30,200","30,205","29,485","20,39K","-2,14%"
"10.06.2024","30,195","29,600","30,250","29,560","19,05K","1,46%"
"07.06.2024","29,761","31,800","31,985","29,560","25,82K","-6,11%"
"06.06.2024","31,698","30,495","31,795","30,405","10,03K","4,29%"
"05.06.2024","30,395","29,940","30,500","29,855","7,12K","1,54%"
"04.06.2024","29,935","31,250","31,330","29,830","10,51K","-3,78%"
"03.06.2024","31,112","30,895","31,280","30,270","7,58K","2,21%"
"31.05.2024","30,440","31,345","31,945","30,345","112,55K","-3,47%"
"30.05.2024","31,534","32,170","32,280","31,180","98,38K","-2,13%"
"29.05.2024","32,219","32,160","32,310","31,700","0,93K","0,73%"
"28.05.2024","31,987","30,410","32,275","30,410","1,23K","0,49%"
"27.05.2024","31,832","30,705","32,060","30,617","","3,64%"
"26.05.2024","30,715","30,545","30,785","30,545","","1,22%"
"24.05.2024","30,346","30,195","30,675","30,100","2,75K","0,13%"
"23.05.2024","30,307","30,905","31,020","30,135","4,91K","-3,32%"
"22.05.2024","31,348","32,140","32,245","30,850","2,21K","-1,80%"
"21.05.2024","31,922","31,945","32,495","31,300","2,97K","-1,07%"
"20.05.2024","32,267","31,645","32,570","31,030","1,78K","3,69%"
"17.05.2024","31,118","29,710","31,655","29,585","1,66K","4,65%"
"16.05.2024","29,736","29,815","29,950","29,455","0,47K","0,50%"
"15.05.2024","29,588","28,720","29,840","28,600","0,98K","3,59%"
"14.05.2024","28,562","28,555","28,795","28,225","1,42K","0,88%"
"13.05.2024","28,312","28,275","28,490","28,090","0,59K","-0,22%"
"10.05.2024","28,374","28,415","28,860","28,140","0,73K","0,50%"
"09.05.2024","28,233","27,410","28,445","27,410","2,28K","2,76%"
"08.05.2024","27,474","27,305","27,580","27,135","1,78K","0,20%"
"07.05.2024","27,419","27,570","27,630","27,285","1,23K","-0,26%"
"06.05.2024","27,491","26,675","27,605","26,675","0,98K","3,00%"
"03.05.2024","26,690","26,940","27,140","26,345","65,99K","-0,52%"
"02.05.2024","26,829","26,905","27,065","26,255","63,28K","0,30%"
"01.05.2024","26,748","26,550","27,250","26,520","64,62K","0,35%"
"30.04.2024","26,654","27,455","27,455","26,515","87,80K","-3,64%"
"29.04.2024","27,660","27,500","27,735","27,225","61,96K","0,94%"
"26.04.2024","27,402","27,625","27,890","27,250","1,03K","-0,36%"
"25.04.2024","27,502","27,385","27,745","27,150","0,85K","0,02%"
"24.04.2024","27,496","27,450","27,660","27,215","0,52K","-0,05%"
"23.04.2024","27,511","27,420","27,560","26,855","0,83K","0,42%"
"22.04.2024","27,397","28,780","28,820","27,315","0,60K","-4,90%"
"19.04.2024","28,808","28,505","28,510","28,215","0,02K","1,69%"
"18.04.2024","28,329","28,285","28,735","28,210","72,23K","-0,06%"
"17.04.2024","28,346","28,510","28,510","28,310","0,01K","0,10%"
"16.04.2024","28,318","28,355","28,355","28,235","0,08K","-1,16%"
"15.04.2024","28,651","28,250","28,510","27,770","0,06K","1,13%"
"12.04.2024","28,330","28,535","29,905","27,945","191,81K","0,28%"
"11.04.2024","28,250","28,045","28,600","27,840","89,11K","0,71%"
"10.04.2024","28,052","28,270","28,655","27,640","157,99K","0,24%"
"09.04.2024","27,984","27,970","28,440","27,725","125,25K","0,64%"
"08.04.2024","27,807","27,555","28,195","26,970","131,91K","1,11%"
"05.04.2024","27,503","27,060","27,615","26,400","122,33K","0,94%"
"04.04.2024","27,247","27,305","27,455","26,785","104,38K","0,69%"
"03.04.2024","27,060","26,265","27,325","26,235","139,59K","4,39%"
"02.04.2024","25,923","25,235","26,295","25,195","133,45K","3,39%"
"01.04.2024","25,073","25,140","25,510","24,855","95,90K","-0,11%"
"29.03.2024","25,100","25,100","25,100","25,100","","0,74%"
"28.03.2024","24,916","24,770","25,130","24,505","74,08K","0,66%"
"27.03.2024","24,752","24,595","24,790","24,445","57,54K","1,03%"
"26.03.2024","24,500","24,690","24,870","24,425","0,66K","-1,06%"
"25.03.2024","24,762","24,730","24,885","24,625","0,35K","0,18%"
"22.03.2024","24,717","24,790","24,960","24,465","0,26K","-0,66%"
"21.03.2024","24,881","25,775","25,800","24,780","0,38K","-0,38%"
"20.03.2024","24,977","24,925","25,675","24,820","0,61K","-0,12%"
"19.03.2024","25,008","25,100","25,210","24,810","0,42K","-0,52%"
"18.03.2024","25,138","25,275","25,400","25,060","0,26K","-0,47%"
"15.03.2024","25,256","24,920","25,515","24,905","0,27K","0,78%"
"14.03.2024","25,060","25,225","25,370","24,950","74,03K","-0,38%"
"13.03.2024","25,156","24,335","25,250","24,275","79,33K","3,12%"
"12.03.2024","24,394","24,675","24,900","24,220","75,85K","-1,30%"
"11.03.2024","24,715","24,580","24,740","24,445","48,83K","0,68%"
