"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.08.2024","968,30","963,10","980,60","950,75","60,99K","0,61%"
"11.08.2024","962,40","930,70","969,90","925,90","107,89K","3,49%"
"04.08.2024","929,90","965,80","967,80","913,10","149,03K","-3,90%"
"28.07.2024","967,60","950,10","989,00","949,20","83,94K","2,78%"
"21.07.2024","941,40","950,80","966,50","930,90","0,12K","-3,17%"
"14.07.2024","972,20","1.004,00","1.025,80","967,40","0,04K","-3,89%"
"07.07.2024","1.011,60","1.015,90","1.015,90","1.015,90","0,00K","-3,29%"
"30.06.2024","1.046,00","1.009,80","1.049,80","986,10","106,33K","3,15%"
"23.06.2024","1.014,10","1.007,90","1.031,40","995,80","67,50K","0,60%"
"16.06.2024","1.008,10","975,90","1.017,10","962,30","58,14K","3,83%"
"09.06.2024","970,90","986,20","994,70","959,70","34,93K","-0,02%"
"02.06.2024","971,10","1.043,80","1.055,80","967,70","152,77K","-6,80%"
"26.05.2024","1.042,00","1.039,10","1.068,90","1.026,20","59,16K","0,70%"
"19.05.2024","1.034,80","1.089,40","1.101,30","1.020,50","0,34K","-4,88%"
"12.05.2024","1.087,90","1.001,30","1.096,10","1.001,30","0,73K","8,31%"
"05.05.2024","1.004,40","965,40","1.005,70","953,10","0,38K","4,05%"
"28.04.2024","965,30","924,60","980,30","922,70","159,08K","4,90%"
"21.04.2024","920,20","941,20","942,40","908,70","0,84K","-2,15%"
"14.04.2024","940,40","984,00","984,00","939,30","0,16K","-5,72%"
"07.04.2024","997,50","929,70","1.012,00","929,70","0,71K","6,05%"
"31.03.2024","940,60","922,70","958,20","905,00","157,12K","2,12%"
"24.03.2024","921,10","907,90","925,50","900,20","78,99K","1,49%"
"17.03.2024","907,60","950,40","951,40","900,90","75,30K","-4,69%"
"10.03.2024","952,30","926,50","967,00","924,80","31,75K","3,04%"
"03.03.2024","924,20","901,60","940,50","893,40","21,21K","3,01%"
"25.02.2024","897,20","913,70","914,90","879,80","12,55K","-2,28%"
"18.02.2024","918,10","920,80","928,50","896,10","7,82K","-0,35%"
"11.02.2024","921,30","891,10","923,80","883,30","5,57K","3,81%"
"04.02.2024","887,50","910,00","923,10","882,70","7,11K","-2,53%"
"28.01.2024","910,50","921,70","951,20","908,90","29,10K","-1,17%"
