"Fecha,""Último"",""Apertura"",""Máximo"",""Mínimo"",""Vol."",""% var."""
"30.06.2024,""2.364,30"",""2.336,95"",""2.374,45"",""2.327,85"",""489,95K"",""1,06%"""
"23.06.2024,""2.339,60"",""2.322,10"",""2.350,60"",""2.292,90"",""729,14K"",""0,88%"""
"16.06.2024,""2.319,10"",""2.336,00"",""2.370,00"",""2.309,10"",""724,46K"",""-0,77%"""
"09.06.2024,""2.337,00"",""2.299,50"",""2.345,10"",""2.292,90"",""875,08K"",""1,03%"""
"02.06.2024,""2.313,20"",""2.335,00"",""2.394,30"",""2.293,10"",""1,00M"",""-1,39%"""
"26.05.2024,""2.345,80"",""2.348,70"",""2.381,20"",""2.341,10"",""8,24K"",""0,02%"""
"19.05.2024,""2.345,40"",""2.438,60"",""2.464,50"",""2.339,10"",""3,78K"",""-3,43%"""
"12.05.2024,""2.428,60"",""2.379,80"",""2.433,60"",""2.349,50"",""1,28K"",""1,80%"""
"05.05.2024,""2.385,60"",""2.326,10"",""2.390,80"",""2.323,20"",""0,60K"",""3,34%"""
"28.04.2024,""2.308,60"",""2.347,60"",""2.358,90"",""2.285,20"",""1,03M"",""-1,64%"""
"21.04.2024,""2.347,20"",""2.403,70"",""2.404,30"",""2.304,60"",""1,08M"",""-2,76%"""
"14.04.2024,""2.413,80"",""2.369,40"",""2.433,30"",""2.340,20"",""1,37M"",""1,67%"""
"07.04.2024,""2.374,10"",""2.343,60"",""2.448,80"",""2.321,70"",""1,66M"",""1,22%"""
"31.03.2024,""2.345,40"",""2.259,20"",""2.350,00"",""2.249,10"",""1,28M"",""4,78%"""
"24.03.2024,""2.238,40"",""2.166,60"",""2.256,90"",""2.164,40"",""855,69K"",""3,63%"""
"17.03.2024,""2.160,00"",""2.159,90"",""2.225,30"",""2.149,20"",""1,22M"",""-0,07%"""
"10.03.2024,""2.161,50"",""2.187,60"",""2.195,50"",""2.156,20"",""1,19M"",""-1,10%"""
"03.03.2024,""2.185,50"",""2.091,60"",""2.203,00"",""2.088,10"",""1,59M"",""4,28%"""
"25.02.2024,""2.095,70"",""2.044,20"",""2.097,10"",""2.033,40"",""972,54K"",""2,26%"""
"18.02.2024,""2.049,40"",""2.027,70"",""2.053,20"",""2.023,90"",""683,01K"",""1,25%"""
"11.02.2024,""2.024,10"",""2.038,20"",""2.047,30"",""1.996,40"",""893,81K"",""-0,72%"""
"04.02.2024,""2.038,70"",""2.057,90"",""2.061,30"",""2.030,80"",""675,55K"",""-0,73%"""
"28.01.2024,""2.053,70"",""2.024,40"",""2.083,20"",""2.018,80"",""1,08M"",""1,80%"""
"21.01.2024,""2.017,30"",""2.031,80"",""2.039,30"",""2.004,00"",""860,17K"",""-0,59%"""
"14.01.2024,""2.029,30"",""2.053,40"",""2.062,80"",""2.004,60"",""884,28K"",""-1,09%"""
"07.01.2024,""2.051,60"",""2.052,60"",""2.067,30"",""2.017,30"",""1,22M"",""0,09%"""
"01.01.2024,""2.049,80"",""2.072,70"",""2.088,10"",""2.030,80"",""724,18K"",""-1,06%"""
"25.12.2023,""2.071,80"",""2.066,00"",""2.098,20"",""2.065,10"",""443,02K"",""0,13%"""
"17.12.2023,""2.069,10"",""2.033,30"",""2.083,00"",""2.029,50"",""688,86K"",""1,64%"""
"10.12.2023,""2.035,70"",""2.020,00"",""2.062,90"",""1.987,90"",""904,53K"",""1,05%"""
"03.12.2023,""2.014,50"",""2.094,40"",""2.152,30"",""2.010,60"",""1,15M"",""-3,60%"""
"26.11.2023,""2.089,70"",""2.002,50"",""2.095,70"",""2.001,40"",""1,02M"",""4,33%"""
"19.11.2023,""2.003,00"",""1.980,90"",""2.009,80"",""1.967,20"",""822,16K"",""0,92%"""
"12.11.2023,""1.984,70"",""1.943,40"",""1.996,40"",""1.935,60"",""827,30K"",""2,43%"""
"05.11.2023,""1.937,70"",""1.999,40"",""2.000,10"",""1.936,90"",""998,30K"",""-3,08%"""
"29.10.2023,""1.999,20"",""2.013,50"",""2.017,70"",""1.978,20"",""974,58K"",""0,04%"""
"22.10.2023,""1.998,50"",""1.987,70"",""2.019,70"",""1.964,60"",""1,08M"",""0,21%"""
"15.10.2023,""1.994,40"",""1.941,30"",""2.009,20"",""1.921,20"",""1,17M"",""2,72%"""
"08.10.2023,""1.941,50"",""1.861,00"",""1.946,20"",""1.857,50"",""991,58K"",""5,22%"""
"01.10.2023,""1.845,20"",""1.864,40"",""1.864,70"",""1.823,50"",""1,02M"",""-1,12%"""
"24.09.2023,""1.866,10"",""1.944,70"",""1.946,80"",""1.862,30"",""1,09M"",""-4,09%"""
"17.09.2023,""1.945,60"",""1.945,70"",""1.968,90"",""1.933,10"",""855,94K"",""-0,03%"""
"10.09.2023,""1.946,20"",""1.943,30"",""1.954,60"",""1.921,70"",""855,59K"",""0,18%"""
"03.09.2023,""1.942,70"",""1.966,70"",""1.972,60"",""1.940,00"",""597,43K"",""-1,24%"""
"27.08.2023,""1.967,10"",""1.944,00"",""1.980,20"",""1.940,10"",""726,59K"",""1,40%"""
"20.08.2023,""1.939,90"",""1.918,40"",""1.951,30"",""1.913,60"",""743,62K"",""1,22%"""
"13.08.2023,""1.916,50"",""1.945,60"",""1.948,20"",""1.914,20"",""683,81K"",""-1,55%"""
"06.08.2023,""1.946,60"",""1.977,60"",""1.981,70"",""1.942,70"",""676,59K"",""-1,49%"""
"30.07.2023,""1.976,10"",""1.997,90"",""2.010,90"",""1.954,50"",""775,13K"",""-1,19%"""
"23.07.2023,""1.999,90"",""1.963,60"",""2.002,00"",""1.941,70"",""948,02K"",""1,69%"""
"16.07.2023,""1.966,60"",""1.958,60"",""1.989,80"",""1.949,00"",""935,79K"",""0,11%"""
"09.07.2023,""1.964,40"",""1.930,70"",""1.968,50"",""1.918,00"",""1,12M"",""1,65%"""
