Dia,apple: (Arreu del món)
2024-05-13,73
2024-05-14,74
2024-05-15,74
2024-05-16,74
2024-05-17,74
2024-05-18,79
2024-05-19,72
2024-05-20,76
2024-05-21,76
2024-05-22,75
2024-05-23,74
2024-05-24,73
2024-05-25,76
2024-05-26,78
2024-05-27,71
2024-05-28,73
2024-05-29,72
2024-05-30,72
2024-05-31,71
2024-06-01,71
2024-06-02,75
2024-06-03,72
2024-06-04,73
2024-06-05,75
2024-06-06,73
2024-06-07,74
2024-06-08,79
2024-06-09,75
2024-06-10,95
2024-06-11,100
2024-06-12,89
2024-06-13,85
2024-06-14,81
2024-06-15,80
2024-06-16,78
2024-06-17,76
2024-06-18,79
2024-06-19,74
2024-06-20,74
2024-06-21,76
2024-06-22,80
2024-06-23,79
2024-06-24,75
2024-06-25,71
2024-06-26,72
2024-06-27,73
2024-06-28,74
2024-06-29,72
2024-06-30,75
2024-07-01,76
2024-07-02,78
2024-07-03,74
2024-07-04,74
2024-07-05,70
2024-07-06,72
2024-07-07,77
2024-07-08,77
2024-07-09,68
2024-07-10,77
2024-07-11,76
2024-07-12,78
2024-07-13,85
2024-07-14,74
2024-07-15,76
2024-07-16,83
2024-07-17,83
2024-07-18,80
2024-07-19,78
2024-07-20,81
2024-07-21,80
2024-07-22,79
2024-07-23,80
2024-07-24,77
2024-07-25,78
2024-07-26,74
2024-07-27,79
2024-07-28,76
2024-07-29,74
2024-07-30,75
2024-07-31,77
2024-08-01,79
2024-08-02,81
2024-08-03,77
2024-08-04,81
2024-08-05,78
2024-08-06,79
2024-08-07,74
2024-08-08,78
2024-08-09,78
2024-08-10,79
2024-08-11,80
2024-08-12,75
2024-08-13,72
