Dia,bitcoin: (Arreu del món)
2024-05-13,34
2024-05-14,32
2024-05-15,35
2024-05-16,36
2024-05-17,35
2024-05-18,31
2024-05-19,29
2024-05-20,36
2024-05-21,46
2024-05-22,37
2024-05-23,36
2024-05-24,34
2024-05-25,29
2024-05-26,28
2024-05-27,31
2024-05-28,33
2024-05-29,32
2024-05-30,30
2024-05-31,29
2024-06-01,26
2024-06-02,26
2024-06-03,30
2024-06-04,31
2024-06-05,38
2024-06-06,34
2024-06-07,34
2024-06-08,29
2024-06-09,28
2024-06-10,30
2024-06-11,34
2024-06-12,33
2024-06-13,31
2024-06-14,31
2024-06-15,26
2024-06-16,28
2024-06-17,30
2024-06-18,33
2024-06-19,30
2024-06-20,29
2024-06-21,29
2024-06-22,23
2024-06-23,24
2024-06-24,38
2024-06-25,34
2024-06-26,29
2024-06-27,29
2024-06-28,28
2024-06-29,23
2024-06-30,24
2024-07-01,28
2024-07-02,27
2024-07-03,30
2024-07-04,38
2024-07-05,48
2024-07-06,33
2024-07-07,30
2024-07-08,37
2024-07-09,32
2024-07-10,32
2024-07-11,36
2024-07-12,35
2024-07-13,27
2024-07-14,34
2024-07-15,39
2024-07-16,41
2024-07-17,36
2024-07-18,33
2024-07-19,37
2024-07-20,32
2024-07-21,34
2024-07-22,36
2024-07-23,37
2024-07-24,34
2024-07-25,34
2024-07-26,35
2024-07-27,41
2024-07-28,37
2024-07-29,41
2024-07-30,33
2024-07-31,32
2024-08-01,33
2024-08-02,33
2024-08-03,32
2024-08-04,35
2024-08-05,100
2024-08-06,60
2024-08-07,45
2024-08-08,42
2024-08-09,38
2024-08-10,32
2024-08-11,32
2024-08-12,36
2024-08-13,33
