Setmana,bitcoin: (Arreu del món)
2019-08-18,15
2019-08-25,14
2019-09-01,14
2019-09-08,13
2019-09-15,12
2019-09-22,15
2019-09-29,13
2019-10-06,12
2019-10-13,11
2019-10-20,14
2019-10-27,13
2019-11-03,12
2019-11-10,11
2019-11-17,12
2019-11-24,13
2019-12-01,11
2019-12-08,11
2019-12-15,12
2019-12-22,11
2019-12-29,11
2020-01-05,14
2020-01-12,14
2020-01-19,12
2020-01-26,13
2020-02-02,14
2020-02-09,16
2020-02-16,14
2020-02-23,14
2020-03-01,13
2020-03-08,25
2020-03-15,26
2020-03-22,20
2020-03-29,17
2020-04-05,17
2020-04-12,16
2020-04-19,15
2020-04-26,20
2020-05-03,23
2020-05-10,28
2020-05-17,19
2020-05-24,16
2020-05-31,16
2020-06-07,14
2020-06-14,14
2020-06-21,14
2020-06-28,12
2020-07-05,12
2020-07-12,15
2020-07-19,13
2020-07-26,20
2020-08-02,19
2020-08-09,17
2020-08-16,17
2020-08-23,15
2020-08-30,14
2020-09-06,14
2020-09-13,13
2020-09-20,13
2020-09-27,11
2020-10-04,11
2020-10-11,12
2020-10-18,17
2020-10-25,18
2020-11-01,20
2020-11-08,20
2020-11-15,26
2020-11-22,30
2020-11-29,27
2020-12-06,22
2020-12-13,35
2020-12-20,37
2020-12-27,53
2021-01-03,88
2021-01-10,87
2021-01-17,51
2021-01-24,50
2021-01-31,46
2021-02-07,78
2021-02-14,72
2021-02-21,84
2021-02-28,53
2021-03-07,50
2021-03-14,54
2021-03-21,46
2021-03-28,45
2021-04-04,41
2021-04-11,53
2021-04-18,69
2021-04-25,52
2021-05-02,46
2021-05-09,58
2021-05-16,100
2021-05-23,70
2021-05-30,53
2021-06-06,55
2021-06-13,41
2021-06-20,50
2021-06-27,36
2021-07-04,29
2021-07-11,29
2021-07-18,34
2021-07-25,39
2021-08-01,32
2021-08-08,37
2021-08-15,33
2021-08-22,32
2021-08-29,28
2021-09-05,38
2021-09-12,28
2021-09-19,34
2021-09-26,29
2021-10-03,34
2021-10-10,35
2021-10-17,48
2021-10-24,37
2021-10-31,31
2021-11-07,38
2021-11-14,37
2021-11-21,36
2021-11-28,38
2021-12-05,42
2021-12-12,35
2021-12-19,31
2021-12-26,31
2022-01-02,41
2022-01-09,39
2022-01-16,41
2022-01-23,54
2022-01-30,40
2022-02-06,42
2022-02-13,32
2022-02-20,41
2022-02-27,38
2022-03-06,33
2022-03-13,29
2022-03-20,28
2022-03-27,31
2022-04-03,27
2022-04-10,26
2022-04-17,23
2022-04-24,24
2022-05-01,24
2022-05-08,57
2022-05-15,38
2022-05-22,31
2022-05-29,27
2022-06-05,25
2022-06-12,67
2022-06-19,52
2022-06-26,37
2022-07-03,34
2022-07-10,31
2022-07-17,32
2022-07-24,28
2022-07-31,24
2022-08-07,23
2022-08-14,24
2022-08-21,23
2022-08-28,22
2022-09-04,22
2022-09-11,22
2022-09-18,24
2022-09-25,21
2022-10-02,19
2022-10-09,18
2022-10-16,17
2022-10-23,18
2022-10-30,18
2022-11-06,36
2022-11-13,31
2022-11-20,24
2022-11-27,21
2022-12-04,19
2022-12-11,19
2022-12-18,18
2022-12-25,17
2023-01-01,19
2023-01-08,21
2023-01-15,24
2023-01-22,23
2023-01-29,22
2023-02-05,19
2023-02-12,20
2023-02-19,20
2023-02-26,18
2023-03-05,20
2023-03-12,26
2023-03-19,27
2023-03-26,23
2023-04-02,21
2023-04-09,25
2023-04-16,22
2023-04-23,21
2023-04-30,20
2023-05-07,20
2023-05-14,17
2023-05-21,16
2023-05-28,17
2023-06-04,19
2023-06-11,19
2023-06-18,22
2023-06-25,20
2023-07-02,20
2023-07-09,20
2023-07-16,20
2023-07-23,18
2023-07-30,17
2023-08-06,18
2023-08-13,20
2023-08-20,20
2023-08-27,19
2023-09-03,17
2023-09-10,16
2023-09-17,16
2023-09-24,16
2023-10-01,16
2023-10-08,16
2023-10-15,19
2023-10-22,26
2023-10-29,21
2023-11-05,22
2023-11-12,21
2023-11-19,21
2023-11-26,20
2023-12-03,31
2023-12-10,24
2023-12-17,23
2023-12-24,22
2023-12-31,30
2024-01-07,44
2024-01-14,25
2024-01-21,23
2024-01-28,20
2024-02-04,20
2024-02-11,30
2024-02-18,24
2024-02-25,44
2024-03-03,53
2024-03-10,46
2024-03-17,39
2024-03-24,34
2024-03-31,30
2024-04-07,32
2024-04-14,43
2024-04-21,28
2024-04-28,28
2024-05-05,23
2024-05-12,22
2024-05-19,24
2024-05-26,20
2024-06-02,20
2024-06-09,21
2024-06-16,19
2024-06-23,20
2024-06-30,22
2024-07-07,21
2024-07-14,23
2024-07-21,24
2024-07-28,23
2024-08-04,33
2024-08-11,22
2024-08-18,20
