"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.08.2024","4,1673","4,1510","4,2172","4,1345","127,33K","0,57%"
"11.08.2024","4,1435","3,9830","4,1635","3,9710","263,62K","3,77%"
"04.08.2024","3,9930","4,1220","4,1500","3,9210","349,42K","-2,68%"
"28.07.2024","4,1030","4,0945","4,2235","4,0300","273,58K","-0,06%"
"21.07.2024","4,1055","4,2325","4,2360","4,0300","4,30K","-2,68%"
"14.07.2024","4,2185","4,5545","4,5815","4,2140","2,77K","-7,94%"
"07.07.2024","4,5825","4,6595","4,6670","4,4785","2,89K","-1,49%"
"30.06.2024","4,6520","4,3760","4,6995","4,3525","287,55K","5,93%"
"23.06.2024","4,3915","4,4070","4,4505","4,3290","104,74K","-0,79%"
"16.06.2024","4,4265","4,4780","4,5305","4,3640","2,60K","-0,98%"
"09.06.2024","4,4705","4,4470","4,5950","4,4345","3,03K","-0,15%"
"02.06.2024","4,4770","4,6260","4,6840","4,4520","1,67K","-2,72%"
"26.05.2024","4,6020","4,7700","4,8870","4,5710","160,85K","-3,10%"
"19.05.2024","4,7490","5,0855","5,1870","4,7410","3,62K","-5,89%"
"12.05.2024","5,0460","4,6495","5,1475","4,6255","14,85K","8,05%"
"05.05.2024","4,6700","4,5825","4,7495","4,5100","4,69K","2,48%"
"28.04.2024","4,5570","4,5815","4,6945","4,4660","456,60K","-0,26%"
"21.04.2024","4,5690","4,5125","4,6095","4,4070","9,19K","1,22%"
"14.04.2024","4,5140","4,3625","4,5255","4,2930","8,22K","5,57%"
"07.04.2024","4,2760","4,2315","4,3730","4,1880","5,80K","0,94%"
"31.03.2024","4,2360","4,0310","4,2565","4,0250","517,88K","5,72%"
"24.03.2024","4,0070","3,9920","4,0395","3,9675","164,42K","0,16%"
"17.03.2024","4,0005","4,1120","4,1490","3,9900","2,25K","-2,79%"
"10.03.2024","4,1155","3,8920","4,1240","3,8870","2,04K","5,76%"
"03.03.2024","3,8915","3,8575","3,9465","3,8370","361,60K","0,78%"
"25.02.2024","3,8615","3,8745","3,8780","3,8180","186,86K","-0,76%"
"18.02.2024","3,8910","3,8155","3,9090","3,8075","1,78K","1,24%"
"11.02.2024","3,8435","3,6840","3,8460","3,6800","1,62K","4,09%"
"04.02.2024","3,6925","3,8330","3,8455","3,6755","1,77K","-3,38%"
"28.01.2024","3,8215","3,8490","3,9470","3,8165","311,97K","-0,79%"
"21.01.2024","3,8520","3,7900","3,8928","3,7440","","1,73%"
"14.01.2024","3,7865","3,7452","3,7920","3,7147","","1,23%"
"07.01.2024","3,7405","3,8018","3,8403","3,7350","","-1,72%"
"31.12.2023","3,8060","3,8915","3,9118","3,8010","","-2,20%"
"24.12.2023","3,8915","3,9010","3,9737","3,8782","38,00K","-0,35%"
"17.12.2023","3,9050","3,8830","3,9450","3,8410","276,34K","0,37%"
"10.12.2023","3,8905","3,8305","3,9165","3,7530","306,52K","1,57%"
"03.12.2023","3,8305","3,9215","3,9265","3,7290","353,13K","-2,57%"
"26.11.2023","3,9315","3,8230","3,9330","3,7850","153,72K","2,91%"
"19.11.2023","3,8205","3,7635","3,8415","3,7635","0,77K","1,54%"
"12.11.2023","3,7625","3,6300","3,7675","3,6225","1,08K","4,89%"
"05.11.2023","3,5870","3,6750","3,7255","3,5820","383,54K","-2,57%"
"29.10.2023","3,6815","3,6425","3,7100","3,6315","320,38K","0,97%"
"22.10.2023","3,6460","3,5590","3,6595","3,5195","317,69K","2,33%"
"15.10.2023","3,5630","3,5705","3,6305","3,5315","279,31K","-0,22%"
"08.10.2023","3,5710","3,6275","3,6745","3,5570","244,11K","-1,56%"
"01.10.2023","3,6275","3,7540","3,7615","3,5490","279,91K","-2,94%"
"24.09.2023","3,7375","3,6955","3,7860","3,6240","258,23K","1,12%"
"17.09.2023","3,6960","3,7975","3,8230","3,6340","284,85K","-2,76%"
"10.09.2023","3,8010","3,7170","3,8515","3,7125","231,36K","2,27%"
"03.09.2023","3,7165","3,8550","3,8725","3,7115","225,84K","-3,52%"
"27.08.2023","3,8520","3,7950","3,9085","3,7800","203,79K","2,39%"
